transaction_id,customer_id,subscription_id,amount,payment_method,failure_type,attempt_number,days_overdue,previous_payment_count,previous_success_count,previous_failure_count,previous_recovery_count,customer_lifetime_value,contact_count,subscription_age_days,action,previous_success_rate,previous_recovery_rate,recovery_probability,action_cost,expected_recovery_value,recovered,recovered_amount,net_value
tx_06252,cust_01101,sub_02273,505.34,card,customer_abandoned,1,2,20,15,5,3,8006.47,0,606,retry_now,0.75,0.6,0.0646,1.0,31.65,False,0.0,-1.0
tx_04684,cust_02067,sub_03474,542.72,upi,soft_decline,1,2,12,8,4,2,5246.04,0,368,retry_now,0.6667,0.5,0.4281,1.0,231.34,True,542.72,541.72
tx_01731,cust_03615,sub_01826,1544.86,upi,invalid_payment_method,5,33,25,17,8,6,28311.72,8,785,stop,0.68,0.75,0.0,0.0,0.0,False,0.0,0.0
tx_04742,cust_01711,sub_00240,1527.56,netbanking,bank_timeout,1,2,11,7,4,1,10708.75,0,346,retry_later,0.6364,0.25,0.8164,1.0,1246.07,True,1527.56,1526.56
tx_04521,cust_02793,sub_04861,546.27,upi,bank_timeout,2,3,20,20,0,0,12409.66,1,623,retry_later,1.0,0.0,0.8046,1.0,438.54,True,546.27,545.27
tx_06340,cust_01189,sub_04594,1511.7,card,repeated_failure,1,0,19,16,3,1,23581.94,0,581,escalate_human,0.8421,0.3333,0.8175,30.0,1205.84,True,1511.7,1481.7
tx_00576,cust_03703,sub_04711,525.19,netbanking,hard_decline,1,1,2,2,0,0,1056.05,0,70,payment_method_update,1.0,0.0,0.7643,2.0,399.4,True,525.19,523.19
tx_05202,cust_03346,sub_00561,1042.03,card,insufficient_funds,3,13,8,7,1,1,8276.36,4,267,send_reminder,0.875,1.0,0.241,0.5,250.59,False,0.0,-0.5
tx_06363,cust_01029,sub_04154,540.39,card,invalid_payment_method,2,4,15,13,2,1,7877.89,1,455,retry_later,0.8667,0.5,0.0138,1.0,6.45,False,0.0,-1.0
tx_00439,cust_01590,sub_00674,246.24,upi,unknown,1,2,7,5,2,2,1620.38,0,220,retry_now,0.7143,1.0,0.3223,1.0,78.35,False,0.0,-1.0
tx_02750,cust_00980,sub_03534,1519.75,mandate_nach,insufficient_funds,3,13,14,7,7,5,10946.56,5,453,recovery_link,0.5,0.7143,0.2003,1.5,302.83,False,0.0,-1.5
tx_07487,cust_02043,sub_03984,1043.77,upi,insufficient_funds,1,2,18,15,3,1,15752.88,0,554,retry_now,0.8333,0.3333,0.112,1.0,115.88,False,0.0,-1.0
tx_05272,cust_00966,sub_03839,1521.0,upi,insufficient_funds,4,23,12,8,4,2,13504.87,6,407,escalate_human,0.6667,0.5,0.1342,30.0,174.13,False,0.0,-30.0
tx_05653,cust_01860,sub_04346,528.9,upi,customer_abandoned,2,5,4,2,2,1,1171.34,1,149,recovery_link,0.5,0.5,0.6398,1.5,336.88,True,528.9,527.4
tx_03999,cust_02080,sub_04081,505.48,card,insufficient_funds,1,1,28,20,8,3,11083.11,0,842,retry_now,0.7143,0.375,0.1002,1.0,49.66,False,0.0,-1.0
tx_06033,cust_03792,sub_04201,1048.7,upi,bank_timeout,3,8,20,17,3,2,19079.78,3,635,stop,0.85,0.6667,0.0,0.0,0.0,False,0.0,0.0
tx_00582,cust_00426,sub_03484,212.05,card,expired_card,3,14,26,22,4,3,5455.52,5,803,escalate_human,0.8462,0.75,0.4557,30.0,66.63,True,212.05,182.05
tx_09930,cust_01371,sub_03108,1018.52,wallet,unknown,1,1,30,23,7,2,25118.26,0,912,retry_now,0.7667,0.2857,0.3103,1.0,315.07,True,1018.52,1017.52
tx_07051,cust_01729,sub_04586,1511.5,upi,soft_decline,1,1,32,24,8,3,36103.85,0,980,payment_method_update,0.75,0.375,0.5525,2.0,833.15,True,1511.5,1509.5
tx_08158,cust_03728,sub_05123,530.42,wallet,customer_abandoned,1,1,4,3,1,0,1780.93,1,133,retry_now,0.75,0.0,0.0507,1.0,25.87,False,0.0,-1.0
tx_09896,cust_03201,sub_00103,534.46,card,hard_decline,1,2,26,18,8,6,10454.25,1,795,payment_method_update,0.6923,0.75,0.7973,2.0,424.13,False,0.0,-2.0
tx_02249,cust_01693,sub_00364,1037.5,upi,insufficient_funds,1,2,13,10,3,1,10056.66,1,413,retry_now,0.7692,0.3333,0.102,1.0,104.84,False,0.0,-1.0
tx_04640,cust_03370,sub_01119,523.45,card,insufficient_funds,3,8,19,19,0,0,11093.79,3,591,send_reminder,1.0,0.0,0.286,0.5,149.21,False,0.0,-0.5
tx_09485,cust_03116,sub_03169,1025.95,mandate_nach,insufficient_funds,1,0,1,1,0,0,1130.39,1,31,retry_now,1.0,0.0,0.0889,1.0,90.2,False,0.0,-1.0
tx_04947,cust_02079,sub_02534,510.66,card,customer_abandoned,1,0,20,14,6,3,8470.16,0,611,retry_now,0.7,0.5,0.0653,1.0,32.34,False,0.0,-1.0
tx_09920,cust_00891,sub_01329,240.94,upi,repeated_failure,1,1,22,15,7,4,4763.03,0,683,retry_now,0.6818,0.5714,0.0514,1.0,11.38,False,0.0,-1.0
tx_01963,cust_03273,sub_02965,233.15,upi,unknown,1,0,8,7,1,1,1824.81,0,260,retry_now,0.875,1.0,0.3602,1.0,82.99,False,0.0,-1.0
tx_08243,cust_03192,sub_05280,1007.02,card,customer_abandoned,2,5,27,26,1,0,25775.33,1,833,retry_now,0.963,0.0,0.0437,1.0,42.97,False,0.0,-1.0
tx_06590,cust_00040,sub_04360,538.98,mandate_nach,bank_timeout,1,1,25,21,4,2,13097.06,1,755,retry_now,0.84,0.5,0.7667,1.0,412.22,True,538.98,537.98
tx_08847,cust_00913,sub_01118,2519.01,mandate_nach,bank_timeout,2,6,25,22,3,2,53200.59,3,769,send_reminder,0.88,0.6667,0.1708,0.5,429.73,False,0.0,-0.5
tx_00321,cust_00430,sub_05451,1542.15,card,insufficient_funds,2,3,14,11,3,2,17754.51,1,431,retry_later,0.7857,0.6667,0.6918,1.0,1065.85,False,0.0,-1.0
tx_02678,cust_02318,sub_03211,1004.63,upi,insufficient_funds,1,2,18,16,2,1,17906.81,0,556,retry_now,0.8889,0.5,0.1214,1.0,120.99,False,0.0,-1.0
tx_04625,cust_01538,sub_02213,222.21,upi,bank_timeout,1,0,2,1,1,1,335.86,1,67,retry_later,0.5,1.0,0.8255,1.0,182.45,True,222.21,221.21
tx_04949,cust_01472,sub_02130,230.72,upi,insufficient_funds,2,5,13,12,1,0,3131.86,1,422,retry_later,0.9231,0.0,0.6057,1.0,138.75,True,230.72,229.72
tx_08328,cust_00654,sub_02146,5000.0,upi,customer_abandoned,1,2,4,4,0,0,21498.34,0,145,retry_now,1.0,0.0,0.0821,1.0,409.39,False,0.0,-1.0
tx_03337,cust_00202,sub_01057,244.68,mandate_nach,bank_timeout,1,2,28,23,5,3,6962.43,0,867,retry_later,0.8214,0.6,0.8728,1.0,212.55,True,244.68,243.68
tx_05589,cust_03386,sub_03491,238.41,netbanking,soft_decline,2,3,27,17,10,6,5539.5,1,816,retry_later,0.6296,0.6,0.6075,1.0,143.84,True,238.41,237.41
tx_00251,cust_01975,sub_00230,2520.93,wallet,insufficient_funds,2,5,23,22,1,1,56343.45,2,704,retry_later,0.9565,1.0,0.7227,1.0,1820.77,True,2520.93,2519.93
tx_03973,cust_01031,sub_03287,1033.81,upi,bank_timeout,1,1,8,7,1,1,7823.7,0,245,retry_now,0.875,1.0,0.8341,1.0,861.35,False,0.0,-1.0
tx_06630,cust_01942,sub_02792,246.22,upi,hard_decline,3,9,3,3,0,0,874.16,3,115,stop,1.0,0.0,0.0,0.0,0.0,False,0.0,0.0
tx_05547,cust_00195,sub_05239,1539.53,upi,repeated_failure,5,40,28,24,4,1,41425.99,8,902,stop,0.8571,0.25,0.0,0.0,0.0,False,0.0,0.0
tx_00035,cust_00255,sub_02676,548.95,mandate_nach,bank_timeout,1,1,35,30,5,2,18659.39,0,1072,retry_now,0.8571,0.4,0.7668,1.0,419.93,False,0.0,-1.0
tx_08362,cust_03088,sub_03433,236.74,upi,soft_decline,4,15,24,20,4,4,5817.98,5,752,recovery_link,0.8333,1.0,0.1954,1.5,44.76,False,0.0,-1.5
tx_01513,cust_01322,sub_00785,513.56,upi,soft_decline,2,5,23,20,3,1,11986.96,2,709,retry_later,0.8696,0.3333,0.6115,1.0,313.04,False,0.0,-1.0
tx_09317,cust_02297,sub_05121,514.96,upi,bank_timeout,1,2,18,16,2,1,8325.13,0,556,retry_now,0.8889,0.5,0.8054,1.0,413.74,True,514.96,513.96
