index,transaction_id,failure_type,payment_method,attempt_number,amount,amount_bucket,customer_lifetime_value,days_overdue,contact_count,selected_action,predicted_erv,gt_recovery_probability,recovered,recovered_amount,action_cost,net_value,guardrails_triggered
0,tx_06490,soft_decline,card,1,223.19,100-500,2989.26,1,0,retry_later,176.1542,0.71712,False,0.0,1.0,-1.0,0
1,tx_08609,unknown,mandate_nach,1,1520.76,1000-5000,28465.57,2,0,payment_method_update,967.6113,0.42481,False,0.0,2.0,-2.0,0
2,tx_09978,expired_card,card,1,236.64,100-500,7420.47,0,0,payment_method_update,207.204,0.877256,True,236.64,2.0,234.64,1
3,tx_08070,bank_timeout,card,1,5027.76,5000+,48976.8,2,1,retry_later,4325.6483,0.828549,True,5027.76,1.0,5026.76,0
4,tx_08577,bank_timeout,upi,1,1003.24,1000-5000,19219.99,2,0,retry_later,866.3423,0.840878,False,0.0,1.0,-1.0,0
5,tx_07973,bank_timeout,mandate_nach,1,204.93,100-500,1973.06,2,1,retry_later,180.8029,0.859309,True,204.93,1.0,203.93,0
6,tx_01625,bank_timeout,upi,1,533.61,500-1000,17519.2,0,0,retry_later,474.5252,0.867648,True,533.61,1.0,532.61,0
7,tx_00536,invalid_payment_method,card,2,511.77,500-1000,16393.77,3,1,payment_method_update,399.4654,0.82055,True,511.77,2.0,509.77,1
8,tx_08766,bank_timeout,upi,1,214.49,100-500,2430.54,2,0,retry_later,181.4279,0.803417,True,214.49,1.0,213.49,0
9,tx_07970,hard_decline,netbanking,2,248.33,100-500,6814.6,5,1,payment_method_update,118.158,0.636599,False,0.0,2.0,-2.0,1
10,tx_04212,soft_decline,upi,2,529.83,500-1000,16935.11,6,3,retry_later,361.0898,0.608276,False,0.0,1.0,-1.0,0
11,tx_06456,soft_decline,netbanking,5,1524.33,1000-5000,32798.08,30,8,retry_later,262.1659,0.131096,True,1524.33,1.0,1523.33,0
12,tx_03507,insufficient_funds,netbanking,5,523.32,500-1000,632.7,40,8,retry_later,52.4547,0.096408,False,0.0,1.0,-1.0,0
13,tx_08393,soft_decline,mandate_nach,1,503.21,500-1000,12918.26,0,0,retry_later,431.5595,0.793738,False,0.0,1.0,-1.0,0
14,tx_07112,unknown,upi,1,518.16,500-1000,9270.85,2,0,recovery_link,305.0072,0.442619,False,0.0,1.5,-1.5,0
15,tx_02708,hard_decline,upi,2,244.67,100-500,658.12,5,2,payment_method_update,162.9029,0.676136,False,0.0,2.0,-2.0,1
16,tx_05031,soft_decline,card,1,239.21,100-500,6242.42,2,0,retry_later,184.7408,0.676178,True,239.21,1.0,238.21,0
17,tx_06514,insufficient_funds,upi,1,2526.42,1000-5000,12138.06,0,0,retry_later,1929.9044,0.771291,True,2526.42,1.0,2525.42,0
18,tx_04662,unknown,netbanking,1,523.48,500-1000,17204.1,0,1,recovery_link,317.8303,0.511966,True,523.48,1.5,521.98,0
19,tx_04021,bank_timeout,upi,1,541.7,500-1000,4701.86,2,0,retry_later,460.0198,0.825652,True,541.7,1.0,540.7,0
20,tx_01854,unknown,upi,2,499.44,100-500,12229.34,5,1,recovery_link,265.8949,0.368679,False,0.0,1.5,-1.5,0
21,tx_09425,bank_timeout,upi,1,228.04,100-500,3396.42,1,1,retry_later,194.8402,0.831024,True,228.04,1.0,227.04,0
22,tx_02872,insufficient_funds,upi,2,2548.29,1000-5000,45081.98,5,1,retry_later,1581.6968,0.669515,False,0.0,1.0,-1.0,0
23,tx_03030,invalid_payment_method,upi,1,5001.09,5000+,128844.38,0,0,recovery_link,4252.7389,0.864455,True,5001.09,1.5,4999.59,1
24,tx_01645,customer_abandoned,upi,3,511.34,500-1000,2718.69,14,5,recovery_link,230.086,0.432562,False,0.0,1.5,-1.5,0
25,tx_03417,soft_decline,upi,1,1029.5,1000-5000,1110.9,0,0,retry_later,794.4647,0.719135,True,1029.5,1.0,1028.5,0
26,tx_03476,customer_abandoned,card,1,211.59,100-500,2250.84,0,1,recovery_link,152.604,0.78563,True,211.59,1.5,210.09,0
27,tx_09552,insufficient_funds,card,1,233.06,100-500,1566.84,2,0,retry_later,184.7478,0.755777,True,233.06,1.0,232.06,0
28,tx_01792,expired_card,card,2,1510.39,1000-5000,39829.91,5,2,payment_method_update,1241.9987,0.848945,True,1510.39,2.0,1508.39,1
29,tx_03797,insufficient_funds,upi,1,1047.9,1000-5000,22279.12,2,1,retry_later,708.9789,0.706662,True,1047.9,1.0,1046.9,0
30,tx_03368,hard_decline,card,1,2518.56,1000-5000,35340.6,2,0,payment_method_update,2112.2193,0.810352,False,0.0,2.0,-2.0,1
31,tx_07196,insufficient_funds,card,1,502.55,500-1000,6155.79,2,0,retry_later,386.8416,0.738023,True,502.55,1.0,501.55,0
32,tx_09641,customer_abandoned,upi,2,503.2,500-1000,515.15,4,1,recovery_link,341.1359,0.711081,False,0.0,1.5,-1.5,0
33,tx_05109,bank_timeout,netbanking,1,530.45,500-1000,2523.86,2,1,retry_later,438.8608,0.844037,True,530.45,1.0,529.45,0
34,tx_06024,invalid_payment_method,wallet,3,217.72,100-500,4455.62,12,5,payment_method_update,125.7189,0.621693,False,0.0,2.0,-2.0,1
35,tx_08795,bank_timeout,wallet,2,230.74,100-500,9251.19,6,2,retry_later,187.0555,0.78137,False,0.0,1.0,-1.0,0
36,tx_09294,insufficient_funds,upi,1,5026.25,5000+,78465.82,0,0,retry_later,3915.831,0.780043,True,5026.25,1.0,5025.25,0
37,tx_00126,insufficient_funds,upi,2,511.84,500-1000,4483.58,4,1,retry_later,328.4915,0.645256,False,0.0,1.0,-1.0,0
38,tx_05959,customer_abandoned,upi,2,233.34,100-500,7136.72,5,1,recovery_link,156.5951,0.690814,False,0.0,1.5,-1.5,0
39,tx_03876,bank_timeout,upi,3,1516.71,1000-5000,11976.8,10,3,retry_later,1057.8624,0.695215,True,1516.71,1.0,1515.71,0
40,tx_04451,insufficient_funds,mandate_nach,1,1524.66,1000-5000,15109.88,1,0,retry_later,1195.4839,0.798013,False,0.0,1.0,-1.0,0
41,tx_07147,insufficient_funds,upi,1,1023.0,1000-5000,6819.48,0,0,retry_later,771.8721,0.739756,True,1023.0,1.0,1022.0,0
42,tx_03531,unknown,upi,4,2526.01,1000-5000,58582.67,16,6,recovery_link,558.2246,0.126166,False,0.0,1.5,-1.5,0
43,tx_00827,insufficient_funds,card,4,1542.23,1000-5000,13243.28,18,6,retry_later,452.0235,0.274031,True,1542.23,1.0,1541.23,0
44,tx_07790,insufficient_funds,mandate_nach,1,10020.51,5000+,174920.79,0,1,retry_later,8282.8216,0.808197,True,10020.51,1.0,10019.51,0
45,tx_00984,expired_card,card,1,534.5,500-1000,11654.6,2,0,payment_method_update,450.2762,0.859583,True,534.5,2.0,532.5,1
46,tx_07783,insufficient_funds,wallet,1,1002.13,1000-5000,5785.69,2,1,retry_later,783.6712,0.76601,True,1002.13,1.0,1001.13,0
47,tx_02443,hard_decline,upi,4,1509.4,1000-5000,25595.96,24,8,payment_method_update,436.8926,0.249724,False,0.0,2.0,-2.0,1
48,tx_08554,invalid_payment_method,netbanking,2,246.4,100-500,6539.79,3,1,recovery_link,137.0634,0.700517,True,246.4,1.5,244.9,1
49,tx_00345,bank_timeout,netbanking,1,2517.56,1000-5000,20356.33,1,0,retry_later,2132.7775,0.856267,True,2517.56,1.0,2516.56,0
50,tx_00814,bank_timeout,upi,1,1046.98,1000-5000,20373.23,0,0,retry_later,910.0233,0.841756,True,1046.98,1.0,1045.98,0
51,tx_06166,insufficient_funds,card,5,2542.88,1000-5000,22265.72,25,8,retry_later,475.9796,0.157053,False,0.0,1.0,-1.0,0
52,tx_05779,repeated_failure,upi,1,2512.87,1000-5000,61051.92,1,1,escalate_human,1879.7484,0.812144,True,2512.87,30.0,2482.87,0
53,tx_02116,bank_timeout,upi,2,524.1,500-1000,15517.98,6,3,retry_later,403.9202,0.751107,True,524.1,1.0,523.1,0
54,tx_00793,invalid_payment_method,wallet,3,999.5,500-1000,18284.66,8,4,payment_method_update,586.8977,0.675284,False,0.0,2.0,-2.0,1
55,tx_06898,customer_abandoned,mandate_nach,4,1542.29,1000-5000,25649.53,18,7,recovery_link,423.9365,0.277516,False,0.0,1.5,-1.5,0
56,tx_02674,insufficient_funds,upi,1,506.72,500-1000,5887.21,0,1,retry_later,383.2758,0.748374,False,0.0,1.0,-1.0,0
57,tx_00094,bank_timeout,mandate_nach,3,222.17,100-500,2587.48,13,4,retry_later,153.9303,0.641702,True,222.17,1.0,221.17,0
58,tx_04225,bank_timeout,wallet,2,1013.13,1000-5000,4880.62,5,2,retry_later,767.1198,0.72512,False,0.0,1.0,-1.0,0
59,tx_03756,bank_timeout,mandate_nach,1,1036.78,1000-5000,19360.46,2,0,retry_later,942.2216,0.888701,False,0.0,1.0,-1.0,0
60,tx_02891,repeated_failure,netbanking,4,244.98,100-500,5898.73,15,5,escalate_human,53.0466,0.420477,True,244.98,30.0,214.98,0
61,tx_02371,bank_timeout,upi,2,216.77,100-500,575.01,5,1,retry_later,166.3584,0.76631,True,216.77,1.0,215.77,0
62,tx_09388,customer_abandoned,upi,3,509.84,500-1000,10606.71,13,4,recovery_link,261.7045,0.536235,False,0.0,1.5,-1.5,0
63,tx_03228,insufficient_funds,upi,1,2537.72,1000-5000,60581.36,0,0,retry_later,1841.2459,0.75423,True,2537.72,1.0,2536.72,0
64,tx_07863,repeated_failure,card,1,1004.63,1000-5000,4040.74,0,1,payment_method_update,740.1278,0.689637,False,0.0,2.0,-2.0,0
65,tx_06359,insufficient_funds,mandate_nach,2,1517.17,1000-5000,40156.27,4,2,retry_later,1111.7668,0.748307,True,1517.17,1.0,1516.17,0
66,tx_09196,bank_timeout,upi,1,532.16,500-1000,10527.44,2,0,retry_later,440.463,0.81047,False,0.0,1.0,-1.0,0
67,tx_07326,insufficient_funds,netbanking,1,205.99,100-500,8645.05,2,1,retry_later,155.6189,0.761819,True,205.99,1.0,204.99,0
68,tx_06028,hard_decline,card,3,518.55,500-1000,1783.16,7,4,payment_method_update,339.0159,0.579586,False,0.0,2.0,-2.0,1
69,tx_01865,hard_decline,card,1,213.42,100-500,2086.53,1,1,payment_method_update,176.8163,0.783268,True,213.42,2.0,211.42,1
70,tx_04612,hard_decline,upi,1,236.29,100-500,3233.84,2,0,payment_method_update,192.2108,0.794009,True,236.29,2.0,234.29,1
71,tx_02645,bank_timeout,mandate_nach,2,10046.56,5000+,169937.54,4,2,retry_later,8646.7129,0.844662,True,10046.56,1.0,10045.56,0
72,tx_02243,insufficient_funds,netbanking,1,499.21,100-500,5210.21,1,0,retry_later,352.4392,0.716936,False,0.0,1.0,-1.0,0
73,tx_05373,insufficient_funds,upi,1,226.39,100-500,3200.8,1,0,retry_later,171.7616,0.739084,True,226.39,1.0,225.39,0
74,tx_02336,invalid_payment_method,upi,5,530.15,500-1000,4720.63,42,8,recovery_link,88.2069,0.14751,False,0.0,1.5,-1.5,1
75,tx_00950,repeated_failure,upi,1,5038.03,5000+,13876.95,1,1,escalate_human,3757.8352,0.817978,False,0.0,30.0,-30.0,0
76,tx_01120,soft_decline,mandate_nach,1,204.03,100-500,6636.92,2,1,retry_later,170.0926,0.7625,False,0.0,1.0,-1.0,0
77,tx_02204,soft_decline,card,3,230.5,100-500,4637.16,13,4,retry_later,109.1521,0.363172,False,0.0,1.0,-1.0,0
78,tx_00419,soft_decline,card,1,2510.96,1000-5000,22536.59,2,1,retry_later,1783.0402,0.673054,False,0.0,1.0,-1.0,0
79,tx_00922,soft_decline,card,2,1048.4,1000-5000,7416.85,4,2,retry_later,706.4846,0.606094,False,0.0,1.0,-1.0,0
80,tx_08669,expired_card,card,4,532.7,500-1000,9260.93,21,6,payment_method_update,276.1423,0.487043,False,0.0,2.0,-2.0,1
81,tx_05408,bank_timeout,upi,3,1526.66,1000-5000,3043.48,9,3,retry_later,1022.735,0.649196,False,0.0,1.0,-1.0,0
82,tx_05788,insufficient_funds,card,1,1021.67,1000-5000,9973.5,2,0,retry_later,791.4327,0.743979,False,0.0,1.0,-1.0,0
83,tx_05742,bank_timeout,netbanking,1,229.42,100-500,5227.76,2,0,retry_later,196.5499,0.841587,False,0.0,1.0,-1.0,0
84,tx_07667,soft_decline,card,1,2521.02,1000-5000,2345.4,2,1,retry_later,1937.6144,0.708196,True,2521.02,1.0,2520.02,0
85,tx_05567,expired_card,card,3,534.44,500-1000,15754.15,10,3,payment_method_update,396.2855,0.759988,True,534.44,2.0,532.44,1
86,tx_08135,customer_abandoned,upi,1,1512.74,1000-5000,15127.79,0,0,recovery_link,1211.4914,0.809178,True,1512.74,1.5,1511.24,0
87,tx_01202,repeated_failure,card,1,1544.53,1000-5000,31163.88,2,1,payment_method_update,1168.6947,0.746093,True,1544.53,2.0,1542.53,0
88,tx_05765,hard_decline,upi,2,506.16,500-1000,1759.22,5,2,payment_method_update,328.2636,0.684764,True,506.16,2.0,504.16,1
89,tx_08389,unknown,netbanking,1,218.69,100-500,4710.0,0,0,recovery_link,125.2365,0.436698,False,0.0,1.5,-1.5,0
90,tx_01970,bank_timeout,netbanking,1,535.65,500-1000,6004.77,1,1,retry_later,464.444,0.868806,True,535.65,1.0,534.65,0
91,tx_04018,soft_decline,upi,1,530.37,500-1000,10181.7,1,1,retry_later,414.0283,0.729032,False,0.0,1.0,-1.0,0
92,tx_03687,hard_decline,upi,1,535.81,500-1000,13877.02,1,1,payment_method_update,415.3153,0.79197,False,0.0,2.0,-2.0,1
93,tx_01997,insufficient_funds,upi,2,546.21,500-1000,12171.21,4,1,retry_later,357.8121,0.67608,True,546.21,1.0,545.21,0
94,tx_04033,insufficient_funds,card,1,501.62,500-1000,6997.67,1,1,retry_later,387.4633,0.746886,True,501.62,1.0,500.62,0
95,tx_01248,soft_decline,upi,3,531.14,500-1000,19476.22,14,4,retry_later,274.8256,0.443812,False,0.0,1.0,-1.0,0
96,tx_02192,unknown,upi,3,239.35,100-500,6852.08,14,4,recovery_link,88.7275,0.206578,False,0.0,1.5,-1.5,0
97,tx_02712,soft_decline,card,1,208.72,100-500,2327.16,2,0,retry_later,155.403,0.652319,True,208.72,1.0,207.72,0
98,tx_02190,repeated_failure,card,1,1043.58,1000-5000,21661.77,1,0,payment_method_update,767.4758,0.738441,True,1043.58,2.0,1041.58,0
99,tx_04670,unknown,card,2,1020.37,1000-5000,4635.31,4,2,payment_method_update,565.9745,0.366568,False,0.0,2.0,-2.0,0
100,tx_05142,customer_abandoned,upi,3,1544.11,1000-5000,37525.18,14,4,recovery_link,760.3997,0.513797,True,1544.11,1.5,1542.61,0
101,tx_05984,bank_timeout,upi,2,245.01,100-500,4601.5,3,1,retry_later,192.0057,0.778426,True,245.01,1.0,244.01,0
102,tx_06565,insufficient_funds,card,1,521.29,500-1000,12754.91,2,1,retry_later,370.6076,0.699778,False,0.0,1.0,-1.0,0
103,tx_07804,hard_decline,upi,4,1016.37,1000-5000,9815.82,23,6,payment_method_update,167.3758,0.229459,False,0.0,2.0,-2.0,1
104,tx_06943,hard_decline,wallet,1,513.58,500-1000,6121.55,1,0,payment_method_update,423.3655,0.776245,False,0.0,2.0,-2.0,1
105,tx_02136,expired_card,card,1,5029.69,5000+,117358.5,2,0,payment_method_update,4494.502,0.885539,False,0.0,2.0,-2.0,1
